Run	SRA_Sample	SRA_Study	LibraryLayout	Platform	DataSourceType	DataSourceLinks	AvgSpotLen	BioSample	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Library_Name	MBases	MBytes	Sample_Name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	Instrument	LibrarySelection	LibrarySource	LoadDate	Organism	ReleaseDate
SRR5241579	SRS1967036	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990315	gs ncbi s3	gs.US s3.us-east-1	SRX2548432	0	D2_73	375	171	White Master Kush	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241580	SRS1967037	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990325	gs ncbi s3	gs.US s3.us-east-1	SRX2548433	0	D2_86	545	243	Purple Kryptonite1	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241581	SRS1967038	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990328	gs ncbi s3	gs.US s3.us-east-1	SRX2548434	0	D2_89	321	154	Oddball	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241582	SRS1967039	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990327	gs ncbi s3	gs.US s3.us-east-1	SRX2548435	0	D2_88	608	293	Nuclear Fruit1	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241583	SRS1967040	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990326	gs ncbi s3	gs.US s3.us-east-1	SRX2548436	0	D2_87	410	185	MN unknown	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241584	SRS1967041	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990333	gs ncbi s3	gs.US s3.us-east-1	SRX2548437	0	D2_94	510	214	Matt 32	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241585	SRS1967042	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990332	gs ncbi s3	gs.US s3.us-east-1	SRX2548438	0	D2_93	766	319	Matt 31	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241586	SRS1967043	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990330	gs ncbi s3	gs.US s3.us-east-1	SRX2548439	0	D2_91	154	64	Master Kush	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241587	SRS1967044	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990311	gs ncbi s3	gs.US s3.us-east-1	SRX2548440	0	D2_69	696	288	Liberty Haze1	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241588	SRS1967045	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990313	gs ncbi s3	gs.US s3.us-east-1	SRX2548441	0	D2_71	464	193	Jah	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241589	SRS1967046	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990323	gs ncbi s3	gs.US s3.us-east-1	SRX2548442	0	D2_84	345	145	Jack Herer	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241590	SRS1967047	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990316	gs ncbi s3	gs.US s3.us-east-1	SRX2548443	0	D2_74	799	361	Headband1	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241591	SRS1967049	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990329	gs ncbi s3	gs.US s3.us-east-1	SRX2548444	0	D2_90	214	103	Halfy	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241592	SRS1967048	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990312	gs ncbi s3	gs.US s3.us-east-1	SRX2548445	0	D2_70	654	272	Corleone Kush	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241593	SRS1967050	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990318	gs ncbi s3	gs.US s3.us-east-1	SRX2548446	0	D2_76	130	62	Blue Steele	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241594	SRS1967052	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990324	gs ncbi s3	gs.US s3.us-east-1	SRX2548447	0	D2_85	988	441	Blue Dream2	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241595	SRS1967051	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990310	gs ncbi s3	gs.US s3.us-east-1	SRX2548448	0	D2_68	323	133	Blue Dream1	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241596	SRS1967053	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990334	gs ncbi s3	gs.US s3.us-east-1	SRX2548449	0	D2_95	289	120	Black Jack2	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241597	SRS1967055	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990321	gs ncbi s3	gs.US s3.us-east-1	SRX2548450	0	D2_79	208	86	Black Jack1	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241598	SRS1967054	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990322	gs ncbi s3	gs.US s3.us-east-1	SRX2548451	0	D2_80	355	148	Berry Garcia	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241599	SRS1967056	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990317	gs ncbi s3	gs.US s3.us-east-1	SRX2548452	0	D2_75	476	217	Banana2	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241600	SRS1967057	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990314	gs ncbi s3	gs.US s3.us-east-1	SRX2548453	0	D2_72	326	137	Banana	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241601	SRS1967058	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990331	gs ncbi s3	gs.US s3.us-east-1	SRX2548454	0	D2_92	441	183	AZ Star #2	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241602	SRS1967059	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990319	gs ncbi s3	gs.US s3.us-east-1	SRX2548455	0	D2_77	372	179	Amnesia Haze	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR5241603	SRS1967060	SRP099161	PAIRED	ILLUMINA	gcs_uri_provider		297	SAMN05990320	gs ncbi s3	gs.US s3.us-east-1	SRX2548456	0	D2_78	159	76	Alien Dawg	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	2017-02-14
SRR3286247	SRS1357179	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576079	gs ncbi s3	gs.US s3.us-east-1	SRX1656912	0		1373	752	GSM2096945	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Brachypodium distachyon	2016-09-05
SRR3286248	SRS1357179	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576079	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656912	0		1771	838	GSM2096945	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Brachypodium distachyon	2016-09-05
SRR3286249	SRS1357179	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576079	gs ncbi s3	gs.US s3.us-east-1	SRX1656912	0		1688	794	GSM2096945	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Brachypodium distachyon	2016-09-05
